what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1341722199123
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1341722222559
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1341722222902
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1341722222933
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722227013
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722230585
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341722250777
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1341722250777
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.301.v201007080222,"org.eclipse.wst.jsdt.web.support.jsp",1341722256221
opened,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341722256330
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341722256393
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341722256970
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341722257048
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1341722270768
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722297351
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722400187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722418664
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722422754
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722424550
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722426163
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722431824
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722433874
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722440048
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722448628
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1341722451758
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1341722467383
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722471904
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722477434
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1341722500294
opened,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341722512825
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341722512856
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341722519935
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341722522321
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722526990
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722529114
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1341722529127
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1341722529276
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1341722529311
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722533872
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722536724
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341722566005
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1341722566005
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341722573543
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341722584392
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1341722593904
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341722630567
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722633002
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722634937
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1341722634952
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1341722635165
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1341722635204
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722637208
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722638242
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722638632
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722641931
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341722658404
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1341722658404
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1341722667555
opened,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341722671311
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341722671339
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1341722742237
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341722759543
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341722762467
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1341722799179
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341722801391
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341722803023
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341722804937
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341722808560
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341722810654
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.1.v20100712,"org.eclipse.jst.jsf.facelet.core",1341722816571
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722818721
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722825164
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1341722825258
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341722826318
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722843141
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722851853
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1341722852009
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341722853460
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341722861874
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341722862779
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722865010
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722866850
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1341722866866
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722868626
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341722869331
