what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1341654030551
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341654034201
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341654037041
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341654048385
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1341654048385
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341654062035
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1341654129896
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341654135886
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341654146198
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341654148429
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341654162750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341654170456
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341654191111
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341654205978
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341654213388
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1341654221812
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.1.v20100712,"org.eclipse.jst.jsf.facelet.core",1341654228426
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1341654295663
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1341654306942
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1341654333197
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1341654348782
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341654370000
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1341654392230
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1341654395194
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1341654421543
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1341654426379
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1341654435755
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1341654437814
