what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1341848001641
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848002328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848005011
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1341848005073
opened,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1341848005338
started,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1341848005635
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1341848005635
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1341848005650
started,bundle,org.eclipse.ant.core,3.2.200.v20100427,"org.eclipse.ant.core",1341848005650
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1341848005884
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1341848005931
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1341848005994
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1341848006497
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1341848006517
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848007266
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848008888
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848015674
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848016532
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1341848016548
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1341848016922
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848021093
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848022343
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1341848029499
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1341848029546
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1341848029967
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1341848029999
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848048721
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848052309
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848064128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848065797
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848066265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848124454
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1341848133640
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1341848134046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848136791
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848138273
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848144856
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848145668
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341848145746
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1341848145980
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1341848145980
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1341848145980
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1341848145980
