what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1341677630000
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1341677706659
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1341677716753
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1341677717002
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341677739950
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1341677771010
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1341677800650
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677807717
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677809262
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677822959
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677827249
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677828855
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677831039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677838481
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677841039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677852022
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677860976
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677908947
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677909914
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677910320
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677912706
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677913299
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677930870
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1341677933413
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677936829
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1341677945768
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677949028
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341677949387
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341677949418
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677955050
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677956392
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341677957843
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341677959637
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341677960526
closed,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341677960526
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677961524
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677964660
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1341677966922
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341677970213
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341678002740
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341678003099
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341678003145
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1341678006999
closed,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1341678006999
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341678008028
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341678024596
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1341678026515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341678029198
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1341678036202
