what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1341573954622
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1341573954622
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1341573954622
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1341573954622
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1341573954622
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1341573954622
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1341573954622
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1341573954622
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1341573954637
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1341573954637
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1341573954637
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1341573954637
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1341573954637
started,bundle,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui",1341573954637
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1341573954653
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1341573954653
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1341573954653
os,sysinfo,,,"win32",1341573954653
arch,sysinfo,,,"x86",1341573954653
ws,sysinfo,,,"win32",1341573954653
locale,sysinfo,,,"en_IN",1341573954653
processors,sysinfo,,,"2",1341573954653
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341573954653
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1341573954653
java.specification.name,sysinfo,,,"Java Platform API Specification",1341573954653
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341573954653
java.specification.version,sysinfo,,,"1.6",1341573954653
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1341573954653
java.version,sysinfo,,,"1.6.0_20",1341573954653
java.vm.info,sysinfo,,,"mixed mode, sharing",1341573954653
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1341573954653
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341573954653
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341573954653
java.vm.specification.version,sysinfo,,,"1.0",1341573954653
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1341573954653
java.vm.version,sysinfo,,,"16.3-b01",1341573954653
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1341573954669
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1341573954669
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1341573954715
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1341573954778
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1341573954778
